"sex","class","age","status"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Male","3rd","Child","Died"
"Female","3rd","Child","Died"
"Female","3rd","Child","Died"
"Female","3rd","Child","Died"
"Female","3rd","Child","Died"
"Female","3rd","Child","Died"
"Female","3rd","Child","Died"
"Female","3rd","Child","Died"
"Female","3rd","Child","Died"
"Female","3rd","Child","Died"
"Female","3rd","Child","Died"
"Female","3rd","Child","Died"
"Female","3rd","Child","Died"
"Female","3rd","Child","Died"
"Female","3rd","Child","Died"
"Female","3rd","Child","Died"
"Female","3rd","Child","Died"
"Female","3rd","Child","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","1st","Adult","Died"
"Male","2nd","Adult","Died"
"Male","2nd","Adult","Died"
"Male","2nd","Adult","Died"
"Male","2nd","Adult","Died"
"Male","2nd","Adult","Died"
"Male","2nd","Adult","Died"
"Male","2nd","Adult","Died"
"Male","2nd","Adult","Died"
"Male","2nd","Adult","Died"
"Male","2nd","Adult","Died"
"Male","2nd","Adult","Died"
"Male","2nd","Adult","Died"
