"sex","class","age","survived"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Male","3rd","Child","No"
"Female","3rd","Child","No"
"Female","3rd","Child","No"
"Female","3rd","Child","No"
"Female","3rd","Child","No"
"Female","3rd","Child","No"
"Female","3rd","Child","No"
"Female","3rd","Child","No"
"Female","3rd","Child","No"
"Female","3rd","Child","No"
"Female","3rd","Child","No"
"Female","3rd","Child","No"
"Female","3rd","Child","No"
"Female","3rd","Child","No"
"Female","3rd","Child","No"
"Female","3rd","Child","No"
"Female","3rd","Child","No"
"Female","3rd","Child","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
"Male","1st","Adult","No"
