status,sex,class,fare,age,embarked,sibsp,parch,boat
Died,Male,3,0,49,Southampton,0,0,?
Died,Male,1,0,40,Southampton,0,0,?
Died,Male,1,0,39,Southampton,0,0,?
Died,Male,1,0,38,Southampton,0,0,?
Died,Male,3,0,36,Southampton,0,0,?
Died,Male,3,0,19,Southampton,0,0,?
Died,Male,3,4,20,Cherbourg,0,0,?
Died,Male,1,5,33,Southampton,0,0,?
Died,Male,3,6,34,Cherbourg,0,0,?
Died,Male,3,6,19,Queenstown,0,0,?
Died,Female,3,6,18,Queenstown,0,0,?
Died,Male,3,6,61,Southampton,0,0,?
Died,Male,3,6,45,Southampton,0,0,?
Died,Male,3,6,43,Southampton,0,0,?
Died,Male,3,6,34,Southampton,0,0,?
Died,Male,3,6,21,Southampton,1,0,?
Died,Male,3,6,18,Southampton,1,0,?
Died,Male,3,7,45,Cherbourg,0,0,?
Died,Male,3,7,40,Cherbourg,0,0,?
Died,Male,3,7,39,Cherbourg,0,2,?
Died,Male,3,7,35,Cherbourg,0,0,?
Died,Male,3,7,33,Cherbourg,0,0,?
Died,Male,3,7,30,Cherbourg,0,0,?
Died,Male,3,7,30,Cherbourg,0,0,?
Died,Male,3,7,28,Cherbourg,0,0,?
Died,Male,3,7,27,Cherbourg,0,0,?
Died,Male,3,7,26,Cherbourg,0,0,?
Died,Male,3,7,25,Cherbourg,0,0,?
Died,Male,3,7,23,Cherbourg,0,0,?
Died,Male,3,7,22,Cherbourg,0,0,?
Died,Male,3,7,22,Cherbourg,0,0,?
Died,Male,3,7,21,Cherbourg,0,0,?
Died,Male,3,7,20,Cherbourg,0,0,?
Died,Male,3,7,18,Cherbourg,0,0,?
Died,Male,3,7,17,Cherbourg,1,1,?
Died,Male,3,7,15,Cherbourg,1,1,?
Died,Male,3,7,70,Queenstown,0,0,?
Died,Male,3,7,65,Queenstown,0,0,?
Died,Male,3,7,40,Queenstown,0,0,?
Died,Female,3,7,37,Queenstown,0,0,?
Died,Female,3,7,35,Queenstown,0,0,?
Died,Male,3,7,34,Queenstown,0,0,?
Died,Male,3,7,32,Queenstown,0,0,?
Died,Male,3,7,31,Queenstown,0,0,?
Died,Male,3,7,31,Queenstown,0,0,?
Died,Female,3,7,30,Queenstown,0,0,?
Died,Female,3,7,30,Queenstown,0,0,?
Died,Female,3,7,27,Queenstown,0,0,?
Died,Male,3,7,26,Queenstown,0,0,?
Died,Male,3,7,25,Queenstown,0,0,?
Died,Male,3,7,24,Queenstown,0,0,?
Died,Female,3,7,24,Queenstown,0,0,?
Died,Female,3,7,21,Queenstown,0,0,?
Died,Male,3,7,21,Queenstown,0,0,?
Died,Male,3,7,21,Queenstown,0,0,?
Died,Female,3,7,18,Queenstown,0,0,?
Died,Female,3,7,18,Queenstown,0,0,?
Died,Female,3,7,17,Queenstown,0,0,?
Died,Male,3,7,74,Southampton,0,0,?
Died,Male,3,7,59,Southampton,0,0,?
Died,Male,3,7,51,Southampton,0,0,?
Died,Male,3,7,51,Southampton,0,0,?
Died,Male,3,7,48,Southampton,0,0,?
Died,Male,3,7,47,Southampton,0,0,?
Died,Female,3,7,45,Southampton,0,0,?
Died,Male,3,7,43,Southampton,0,0,?
Died,Male,3,7,42,Southampton,0,0,?
Died,Male,3,7,42,Southampton,0,0,?
Died,Male,3,7,41,Southampton,0,0,?
Died,Male,3,7,41,Southampton,0,0,?
Died,Male,3,7,40,Southampton,0,0,?
Died,Male,3,7,39,Southampton,0,0,?
Died,Male,3,7,38,Southampton,0,0,?
Died,Female,3,7,38,Southampton,4,2,?
Died,Male,3,7,38,Southampton,0,0,?
Died,Male,3,7,38,Southampton,0,0,?
Died,Male,3,7,37,Southampton,2,0,?
Died,Male,3,7,36,Southampton,0,0,?
Died,Male,3,7,36,Southampton,0,0,?
Died,Male,3,7,36,Southampton,0,0,?
Died,Male,3,7,35,Southampton,0,0,?
Died,Male,3,7,35,Southampton,0,0,?
Died,Male,3,7,35,Southampton,0,0,?
Died,Male,3,7,33,Southampton,0,0,?
Died,Male,3,7,33,Southampton,0,0,?
Died,Male,3,7,33,Southampton,0,0,?
Died,Male,3,7,32,Southampton,0,0,?
Died,Male,3,7,32,Southampton,0,0,?
Died,Male,3,7,32,Southampton,0,0,?
Died,Male,3,7,31,Southampton,0,0,?
Died,Female,3,7,31,Southampton,0,0,?
Died,Male,3,7,30,Southampton,0,0,?
Died,Male,3,7,30,Southampton,0,0,?
Died,Male,3,7,29,Southampton,1,0,?
Died,Male,3,7,29,Southampton,0,0,?
Died,Male,3,7,29,Southampton,0,0,?
Died,Male,3,7,29,Southampton,0,0,?
Died,Female,3,7,29,Southampton,0,0,?
Died,Male,3,7,29,Southampton,0,0,?
