country,year,month,day,daily-cases,daily-deaths,population,countryterritoryCode,geoId,dateRep
China,2020,04,11,79,3,1392730000,CHN,CN,4/11/20
China,2020,04,10,55,1,1392730000,CHN,CN,4/10/20
China,2020,04,9,86,2,1392730000,CHN,CN,4/9/20
China,2020,04,8,86,2,1392730000,CHN,CN,4/8/20
China,2020,04,7,56,0,1392730000,CHN,CN,4/7/20
China,2020,04,6,67,2,1392730000,CHN,CN,4/6/20
China,2020,04,5,48,3,1392730000,CHN,CN,4/5/20
China,2020,04,4,62,4,1392730000,CHN,CN,4/4/20
China,2020,04,3,70,10,1392730000,CHN,CN,4/3/20
China,2020,04,2,100,6,1392730000,CHN,CN,4/2/20
China,2020,04,1,54,1,1392730000,CHN,CN,4/1/20
China,2020,03,31,84,3,1392730000,CHN,CN,3/31/20
China,2020,03,30,98,2,1392730000,CHN,CN,3/30/20
China,2020,03,29,113,5,1392730000,CHN,CN,3/29/20
China,2020,03,28,119,3,1392730000,CHN,CN,3/28/20
China,2020,03,27,94,5,1392730000,CHN,CN,3/27/20
China,2020,03,26,102,6,1392730000,CHN,CN,3/26/20
China,2020,03,25,78,4,1392730000,CHN,CN,3/25/20
China,2020,03,24,69,7,1392730000,CHN,CN,3/24/20
China,2020,03,23,138,9,1392730000,CHN,CN,3/23/20
China,2020,03,22,65,6,1392730000,CHN,CN,3/22/20
China,2020,03,21,52,6,1392730000,CHN,CN,3/21/20
China,2020,03,20,99,4,1392730000,CHN,CN,3/20/20
China,2020,03,19,44,8,1392730000,CHN,CN,3/19/20
China,2020,03,18,23,16,1392730000,CHN,CN,3/18/20
China,2020,03,17,43,9,1392730000,CHN,CN,3/17/20
China,2020,03,16,25,13,1392730000,CHN,CN,3/16/20
China,2020,03,15,22,9,1392730000,CHN,CN,3/15/20
China,2020,03,14,19,15,1392730000,CHN,CN,3/14/20
China,2020,03,13,22,7,1392730000,CHN,CN,3/13/20
China,2020,03,12,24,11,1392730000,CHN,CN,3/12/20
China,2020,03,11,29,22,1392730000,CHN,CN,3/11/20
China,2020,03,10,20,17,1392730000,CHN,CN,3/10/20
China,2020,03,9,45,23,1392730000,CHN,CN,3/9/20
China,2020,03,8,46,27,1392730000,CHN,CN,3/8/20
China,2020,03,7,101,28,1392730000,CHN,CN,3/7/20
China,2020,03,6,170,30,1392730000,CHN,CN,3/6/20
China,2020,03,5,117,31,1392730000,CHN,CN,3/5/20
China,2020,03,4,119,37,1392730000,CHN,CN,3/4/20
China,2020,03,3,127,32,1392730000,CHN,CN,3/3/20
China,2020,03,2,205,42,1392730000,CHN,CN,3/2/20
