Class,CapShape,CapSurface,CapColor
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,fibrous,white
edible,convex,fibrous,white
edible,convex,fibrous,white
edible,convex,fibrous,white
edible,convex,fibrous,white
edible,convex,fibrous,white
edible,convex,fibrous,white
edible,convex,fibrous,white
edible,convex,fibrous,white
edible,convex,fibrous,white
edible,convex,fibrous,white
edible,convex,fibrous,white
edible,convex,fibrous,yellow
edible,convex,fibrous,yellow
edible,convex,fibrous,yellow
edible,convex,fibrous,yellow
edible,convex,fibrous,yellow
edible,convex,fibrous,yellow
edible,convex,fibrous,yellow
edible,convex,fibrous,yellow
edible,convex,fibrous,yellow
edible,convex,fibrous,yellow
edible,convex,fibrous,yellow
edible,convex,fibrous,yellow
edible,flat,smooth,white
edible,flat,smooth,white
edible,flat,smooth,white
edible,flat,smooth,white
edible,flat,smooth,white
edible,flat,smooth,white
edible,flat,smooth,white
edible,flat,smooth,white
edible,flat,smooth,white
edible,flat,smooth,white
edible,flat,smooth,white
edible,flat,smooth,white
edible,flat,smooth,yellow
edible,flat,smooth,yellow
edible,flat,smooth,yellow
edible,flat,smooth,yellow
edible,flat,smooth,yellow
edible,flat,smooth,yellow
edible,flat,smooth,yellow
edible,flat,smooth,yellow
edible,flat,smooth,yellow
edible,flat,smooth,yellow
edible,flat,smooth,yellow
edible,flat,smooth,yellow
edible,flat,fibrous,white
edible,flat,fibrous,white
edible,flat,fibrous,white
edible,flat,fibrous,white
edible,flat,fibrous,white
edible,flat,fibrous,white
edible,flat,fibrous,white
edible,flat,fibrous,white
edible,flat,fibrous,white
edible,flat,fibrous,white
edible,flat,fibrous,white
edible,flat,fibrous,white
edible,flat,fibrous,yellow
edible,flat,fibrous,yellow
edible,flat,fibrous,yellow
edible,flat,fibrous,yellow
edible,flat,fibrous,yellow
edible,flat,fibrous,yellow
edible,flat,fibrous,yellow
edible,flat,fibrous,yellow
edible,flat,fibrous,yellow
edible,flat,fibrous,yellow
edible,flat,fibrous,yellow
edible,flat,fibrous,yellow
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,white
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,smooth,yellow
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,white
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,bell,scaly,yellow
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,white
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,smooth,yellow
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,white
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
edible,convex,scaly,yellow
