Class,CapShape,CapSurface,CapColor,Bruises,Odor,GillAttachment,GillSpacing
edible,convex,smooth,white,bruises,almond,free,crowded
edible,convex,smooth,white,bruises,almond,free,crowded
edible,convex,smooth,white,bruises,almond,free,crowded
edible,convex,smooth,white,bruises,almond,free,crowded
edible,convex,smooth,white,bruises,almond,free,crowded
edible,convex,smooth,white,bruises,almond,free,crowded
edible,convex,smooth,white,bruises,anise,free,crowded
edible,convex,smooth,white,bruises,anise,free,crowded
edible,convex,smooth,white,bruises,anise,free,crowded
edible,convex,smooth,white,bruises,anise,free,crowded
edible,convex,smooth,white,bruises,anise,free,crowded
edible,convex,smooth,white,bruises,anise,free,crowded
edible,convex,smooth,yellow,bruises,almond,free,crowded
edible,convex,smooth,yellow,bruises,almond,free,crowded
edible,convex,smooth,yellow,bruises,almond,free,crowded
edible,convex,smooth,yellow,bruises,almond,free,crowded
edible,convex,smooth,yellow,bruises,almond,free,crowded
edible,convex,smooth,yellow,bruises,almond,free,crowded
edible,convex,smooth,yellow,bruises,anise,free,crowded
edible,convex,smooth,yellow,bruises,anise,free,crowded
edible,convex,smooth,yellow,bruises,anise,free,crowded
edible,convex,smooth,yellow,bruises,anise,free,crowded
edible,convex,smooth,yellow,bruises,anise,free,crowded
edible,convex,smooth,yellow,bruises,anise,free,crowded
edible,convex,fibrous,white,bruises,almond,free,crowded
edible,convex,fibrous,white,bruises,almond,free,crowded
edible,convex,fibrous,white,bruises,almond,free,crowded
edible,convex,fibrous,white,bruises,almond,free,crowded
edible,convex,fibrous,white,bruises,almond,free,crowded
edible,convex,fibrous,white,bruises,almond,free,crowded
edible,convex,fibrous,white,bruises,anise,free,crowded
edible,convex,fibrous,white,bruises,anise,free,crowded
edible,convex,fibrous,white,bruises,anise,free,crowded
edible,convex,fibrous,white,bruises,anise,free,crowded
edible,convex,fibrous,white,bruises,anise,free,crowded
edible,convex,fibrous,white,bruises,anise,free,crowded
edible,convex,fibrous,yellow,bruises,almond,free,crowded
edible,convex,fibrous,yellow,bruises,almond,free,crowded
edible,convex,fibrous,yellow,bruises,almond,free,crowded
edible,convex,fibrous,yellow,bruises,almond,free,crowded
edible,convex,fibrous,yellow,bruises,almond,free,crowded
edible,convex,fibrous,yellow,bruises,almond,free,crowded
edible,convex,fibrous,yellow,bruises,anise,free,crowded
edible,convex,fibrous,yellow,bruises,anise,free,crowded
edible,convex,fibrous,yellow,bruises,anise,free,crowded
edible,convex,fibrous,yellow,bruises,anise,free,crowded
edible,convex,fibrous,yellow,bruises,anise,free,crowded
edible,convex,fibrous,yellow,bruises,anise,free,crowded
edible,flat,smooth,white,bruises,almond,free,crowded
edible,flat,smooth,white,bruises,almond,free,crowded
edible,flat,smooth,white,bruises,almond,free,crowded
edible,flat,smooth,white,bruises,almond,free,crowded
edible,flat,smooth,white,bruises,almond,free,crowded
edible,flat,smooth,white,bruises,almond,free,crowded
edible,flat,smooth,white,bruises,anise,free,crowded
edible,flat,smooth,white,bruises,anise,free,crowded
edible,flat,smooth,white,bruises,anise,free,crowded
edible,flat,smooth,white,bruises,anise,free,crowded
edible,flat,smooth,white,bruises,anise,free,crowded
edible,flat,smooth,white,bruises,anise,free,crowded
edible,flat,smooth,yellow,bruises,almond,free,crowded
edible,flat,smooth,yellow,bruises,almond,free,crowded
edible,flat,smooth,yellow,bruises,almond,free,crowded
edible,flat,smooth,yellow,bruises,almond,free,crowded
edible,flat,smooth,yellow,bruises,almond,free,crowded
edible,flat,smooth,yellow,bruises,almond,free,crowded
edible,flat,smooth,yellow,bruises,anise,free,crowded
edible,flat,smooth,yellow,bruises,anise,free,crowded
edible,flat,smooth,yellow,bruises,anise,free,crowded
