sex,class,age,status
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Male,1st,Adult,Died
Female,1st,Adult,Died
Female,1st,Adult,Died
Female,1st,Adult,Died
Female,1st,Adult,Died
Male,1st,Child,Survived
Male,1st,Child,Survived
Male,1st,Child,Survived
Male,1st,Child,Survived
Male,1st,Child,Survived
Female,1st,Child,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Male,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Female,1st,Adult,Survived
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
Male,2nd,Adult,Died
