Ticket,Status,Prediction,Gender,Name
1st class,Survived,Correct,Female,"Allen, Miss. Elisabeth Walton"
1st class,Survived,Wrong,Male,"Allison, Master. Hudson Trevor"
1st class,Died,Correct,Female,"Allison, Miss. Helen Loraine"
1st class,Died,Correct,Male,"Allison, Mr. Hudson Joshua Creighton"
1st class,Died,Correct,Female,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)"
1st class,Survived,Correct,Male,"Anderson, Mr. Harry"
1st class,Survived,Correct,Female,"Andrews, Miss. Kornelia Theodosia"
1st class,Died,Wrong,Male,"Andrews, Mr. Thomas Jr"
1st class,Survived,Wrong,Female,"Appleton, Mrs. Edward Dale (Charlotte Lamson)"
1st class,Died,Correct,Male,"Artagaveytia, Mr. Ramon"
1st class,Died,Correct,Male,"Astor, Col. John Jacob"
1st class,Survived,Correct,Female,"Astor, Mrs. John Jacob (Madeleine Talmadge Force)"
1st class,Survived,Correct,Female,"Aubart, Mme. Leontine Pauline"
1st class,Survived,Correct,Female,"Barber, Miss. Ellen Nellie"
1st class,Survived,Correct,Male,"Barkworth, Mr. Algernon Henry Wilson"
1st class,Died,Wrong,Male,"Baumann, Mr. John D"
1st class,Died,Correct,Male,"Baxter, Mr. Quigg Edmond"
1st class,Survived,Correct,Female,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)"
1st class,Survived,Wrong,Female,"Bazzani, Miss. Albina"
1st class,Died,Wrong,Male,"Beattie, Mr. Thomson"
1st class,Survived,Correct,Male,"Beckwith, Mr. Richard Leonard"
1st class,Survived,Correct,Female,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)"
1st class,Survived,Correct,Male,"Behr, Mr. Karl Howell"
1st class,Survived,Correct,Female,"Bidois, Miss. Rosalie"
1st class,Survived,Wrong,Female,"Bird, Miss. Ellen"
1st class,Died,Correct,Male,"Birnbaum, Mr. Jakob"
1st class,Survived,Correct,Male,"Bishop, Mr. Dickinson H"
1st class,Survived,Correct,Female,"Bishop, Mrs. Dickinson H (Helen Walton)"
1st class,Survived,Correct,Female,"Bissette, Miss. Amelia"
1st class,Survived,Correct,Male,"Bjornstrom-Steffansson, Mr. Mauritz Hakan"
1st class,Died,Correct,Male,"Blackwell, Mr. Stephen Weart"
1st class,Survived,Wrong,Male,"Blank, Mr. Henry"
1st class,Survived,Correct,Female,"Bonnell, Miss. Caroline"
1st class,Survived,Correct,Female,"Bonnell, Miss. Elizabeth"
1st class,Died,Correct,Male,"Borebank, Mr. John James"
1st class,Survived,Correct,Female,"Bowen, Miss. Grace Scott"
1st class,Survived,Correct,Female,"Bowerman, Miss. Elsie Edith"
